Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2012","2012","hg/ha","9143","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2013","2013","hg/ha","9143","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2014","2014","hg/ha","8817","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2015","2015","hg/ha","8563","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2016","2016","hg/ha","8223","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2017","2017","hg/ha","8364","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2018","2018","hg/ha","8382","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2019","2019","hg/ha","8323","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","800","Agave fibres nes","2020","2020","hg/ha","8357","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1961","1961","tonnes","17000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1962","1962","tonnes","17500","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1963","1963","tonnes","18000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1964","1964","tonnes","18500","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1965","1965","tonnes","19000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1966","1966","tonnes","19600","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1967","1967","tonnes","21000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1968","1968","tonnes","22000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1969","1969","tonnes","22100","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1970","1970","tonnes","23400","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1971","1971","tonnes","24100","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1972","1972","tonnes","26700","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1973","1973","tonnes","29700","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1974","1974","tonnes","33000","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1975","1975","tonnes","49900","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1976","1976","tonnes","42000","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1977","1977","tonnes","39200","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1978","1978","tonnes","35100","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1979","1979","tonnes","33800","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1980","1980","tonnes","37100","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1981","1981","tonnes","31000","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1982","1982","tonnes","28500","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1983","1983","tonnes","27100","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1984","1984","tonnes","23730","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1985","1985","tonnes","23790","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1986","1986","tonnes","23920","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1987","1987","tonnes","23520","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1988","1988","tonnes","23900","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1989","1989","tonnes","23980","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1990","1990","tonnes","21610","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1991","1991","tonnes","35080","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1992","1992","tonnes","21678","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1993","1993","tonnes","23054","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1994","1994","tonnes","21353","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1995","1995","tonnes","29149","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1996","1996","tonnes","33416","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1997","1997","tonnes","35570","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1998","1998","tonnes","23125","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","1999","1999","tonnes","21303","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2000","2000","tonnes","19355","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2001","2001","tonnes","18473","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2002","2002","tonnes","19884","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2003","2003","tonnes","20508","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2004","2004","tonnes","21498","","Official data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2005","2005","tonnes","22000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2006","2006","tonnes","20406","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2007","2007","tonnes","19918","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2008","2008","tonnes","19187","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2009","2009","tonnes","18624","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2010","2010","tonnes","18056","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2011","2011","tonnes","17494","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2012","2012","tonnes","16000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2013","2013","tonnes","16000","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2014","2014","tonnes","15930","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2015","2015","tonnes","15613","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2016","2016","tonnes","15306","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2017","2017","tonnes","15616","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2018","2018","tonnes","15512","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2019","2019","tonnes","15478","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","800","Agave fibres nes","2020","2020","tonnes","15535","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1961","1961","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1962","1962","ha","","M","Data not available"
